user_input,reference,retrieved_contexts,response,metadata,source_doc,source_pages,qa_type
What is Carbonio and what does it provide at a high level?,"Carbonio is an on‑premises digital workplace platform providing enterprise email, contacts, calendars, real-time chat, video meetings and document editing, plus administration features like backup, archiving and legal hold for compliance and data sovereignty.",[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[5]"", ""qa_type"": ""single-hop""}",admin_guide,[5],single-hop
"In Carbonio 25.12.0, can you upgrade directly from RHEL 8 to RHEL 9?",No. In release 25.12.0 it is not possible to upgrade directly from RHEL 8 to RHEL 9.,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[9]"", ""qa_type"": ""single-hop""}",admin_guide,[9],single-hop
What is the supported high-level procedure to upgrade Ubuntu 22.04 to 24.04 together with Carbonio?,"Upgrade Carbonio to the latest available version for your current OS release; Upgrade the operating system and update its repositories; Perform the OS upgrade (e.g., Ubuntu 22.04 to 24.04), then update all system packages to latest versions; Update the PostgreSQL and Carbonio repositories to match the new OS version; Upgrade the Carbonio packages again using the new repositories",[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[9]"", ""qa_type"": ""single-hop""}",admin_guide,[9],single-hop
How can an admin set a user's UI language from the CLI?,"Use the provisioning command as the zextras user, for example: carbonio prov ma alice@example.com zimbraPrefLocale <language_code>.",[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[6]"", ""qa_type"": ""single-hop""}",admin_guide,[6],single-hop
How can an admin set a Class of Service (COS) language from the CLI?,"Use the provisioning command as the zextras user, for example: carbonio prov mc <COS_name> zimbraPrefLocale <language_code>.",[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[6]"", ""qa_type"": ""single-hop""}",admin_guide,[6],single-hop
How can an admin check the current language preference for a user from the CLI?,Run carbonio prov ga <user_email> zimbraPrefLocale as the zextras user.,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[6]"", ""qa_type"": ""single-hop""}",admin_guide,[6],single-hop
Which Ansible Galaxy command installs the Carbonio upgrade collection?,ansible-galaxy collection install zxbot.carbonio_upgrade,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[11]"", ""qa_type"": ""single-hop""}",admin_guide,[11],single-hop
Which Ansible Galaxy command updates the carbonio_upgrade collection to the latest version?,ansible-galaxy collection install -U zxbot.carbonio_upgrade,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[11]"", ""qa_type"": ""single-hop""}",admin_guide,[11],single-hop
How do you check which version of the zxbot.carbonio_upgrade Ansible collection is installed?,ansible-galaxy collection list zxbot.carbonio_upgrade,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[11]"", ""qa_type"": ""single-hop""}",admin_guide,[11],single-hop
"When upgrading with Ansible, which additional password files must be present alongside the inventory file?",inventory_postgrespassword (DB_ADM password); inventory_ldap_password (ldap_password from zmlocalconfig); inventory_consulpassword (from /var/lib/service-discover/password); inventory_videoserver_password (VideoServer api_secret).,[],,"{""intent"": ""admin"", ""source_doc"": ""admin_guide"", ""source_pages"": ""[12]"", ""qa_type"": ""multi-hop""}",admin_guide,[12],multi-hop
